Gene	FDR	RANKS_score
GPI	2.81869849051677e-05	-4.23072879986681
ATP6V1B2	2.81869849051677e-05	-4.22958117752483
DARS2	2.81869849051677e-05	-4.22871584882202
ATIC	2.81869849051677e-05	-4.21867340018367
PDCD11	2.81869849051677e-05	-4.21722925475323
CEBPZ	2.81869849051677e-05	-4.2169268736392
RPS16	2.81869849051677e-05	-4.21434712713029
ZBTB8OS	2.81869849051677e-05	-4.21122874751447
CAD	2.81869849051677e-05	-4.2104783808535
VPS25	2.81869849051677e-05	-4.20511951880469
HSPA5	2.81869849051677e-05	-4.20501528897805
POLR2C	2.81869849051677e-05	-4.20147964301788
SSU72	2.81869849051677e-05	-4.19992766055364
GART	2.81869849051677e-05	-4.19990851700031
SPC24	2.81869849051677e-05	-4.19109012321883
ISCU	2.81869849051677e-05	-4.18885131861192
TAZ	2.81869849051677e-05	-4.18852430143182
GINS2	2.81869849051677e-05	-4.18404627264309
SRRT	2.81869849051677e-05	-4.1823960481482
PAFAH1B1	2.81869849051677e-05	-4.17987208313801
FAM50A	2.81869849051677e-05	-4.17871987393606
PNPT1	2.81869849051677e-05	-4.17658090829484
PRPF8	2.81869849051677e-05	-4.1589800179733
DDX27	2.81869849051677e-05	-4.15869921139244
TANGO6	2.81869849051677e-05	-4.15698767918817
BUD31	2.81869849051677e-05	-4.15608050260988
ROMO1	2.81869849051677e-05	-4.15487672049335
RABGGTA	2.81869849051677e-05	-4.15290123291487
SARS	2.81869849051677e-05	-4.15248590833467
PSMC5	2.81869849051677e-05	-4.14301313750995
RBM39	2.81869849051677e-05	-4.13762822224673
YARS2	2.81869849051677e-05	-4.13708791125371
EIF6	2.81869849051677e-05	-4.13271458274526
QARS	2.81869849051677e-05	-4.12765960510976
POLR1B	2.81869849051677e-05	-4.12422206293905
SRSF1	2.81869849051677e-05	-4.12128316662103
NEDD8	2.81869849051677e-05	-4.1196544915411
PES1	2.81869849051677e-05	-4.11492526770547
POLR1A	2.81869849051677e-05	-4.1132743866658
MRPL28	2.81869849051677e-05	-4.11267142579213
FPGS	2.81869849051677e-05	-4.11196013168187
TBCC	2.81869849051677e-05	-4.1097058110359
RPL13A	2.81869849051677e-05	-4.10624514936293
SF3B4	2.81869849051677e-05	-4.10415620369873
PFAS	2.81869849051677e-05	-4.10332158426388
DDX21	2.81869849051677e-05	-4.10243333825097
RPL3	2.81869849051677e-05	-4.09794626361192
PGD	2.81869849051677e-05	-4.09712681504157
RFC5	2.81869849051677e-05	-4.0943568922547
FEN1	2.81869849051677e-05	-4.08929716475479
RPL7A	2.81869849051677e-05	-4.08681812543571
VPRBP	2.81869849051677e-05	-4.08453946400431
OGT	2.81869849051677e-05	-4.08322039173701
SF3A3	2.81869849051677e-05	-4.08140149402474
PPP2CA	2.81869849051677e-05	-4.08042491270239
CDIPT	2.81869849051677e-05	-4.07823681263853
NAA10	2.81869849051677e-05	-4.07482579841586
RUVBL2	2.81869849051677e-05	-4.0709005801856
MVK	2.81869849051677e-05	-4.06922861421347
CCT7	2.81869849051677e-05	-4.06812737284481
CCT4	2.81869849051677e-05	-4.0680883063031
EIF4A3	2.81869849051677e-05	-4.06460169636732
CDC20	2.81869849051677e-05	-4.06235085425432
SCAF1	2.81869849051677e-05	-4.05790932409657
EIF2S1	2.81869849051677e-05	-4.05742606325683
RPL34	2.81869849051677e-05	-4.05731013318892
FDX1L	2.81869849051677e-05	-4.05592749114362
ASH2L	2.81869849051677e-05	-4.04247791794998
CTPS1	2.81869849051677e-05	-4.04152790829642
KIAA0391	2.81869849051677e-05	-4.04144742912517
NUTF2	2.81869849051677e-05	-4.03600135201394
TONSL	2.81869849051677e-05	-4.03498845188766
THG1L	2.81869849051677e-05	-4.03444033581239
VARS	2.81869849051677e-05	-4.02776233849322
ILF2	2.81869849051677e-05	-4.02667245574142
URB1	2.81869849051677e-05	-4.02152331298019
TRMT112	2.81869849051677e-05	-4.01992636877641
CCT5	2.81869849051677e-05	-4.01625841506758
SNRNP200	2.81869849051677e-05	-4.01268684908332
TKT	2.81869849051677e-05	-4.00692620496651
TARS	2.81869849051677e-05	-4.00195838758919
BANF1	2.81869849051677e-05	-3.99961481324127
RPL37A	2.81869849051677e-05	-3.99520665565286
VPS52	2.81869849051677e-05	-3.99076635028378
WBSCR16	2.81869849051677e-05	-3.98339626739541
RPL35A	2.81869849051677e-05	-3.97756609981115
POLE2	2.81869849051677e-05	-3.9769558235523
POLR2L	2.81869849051677e-05	-3.97196365504477
ANAPC11	2.81869849051677e-05	-3.97048392578857
DHX33	2.81869849051677e-05	-3.96973291272264
NOL6	2.81869849051677e-05	-3.96805633554635
RPL13	2.81869849051677e-05	-3.96780696003868
PSMD11	2.81869849051677e-05	-3.96718992890092
SRP54	2.81869849051677e-05	-3.96613924534405
CARS	2.81869849051677e-05	-3.96302681705798
TLE4	2.81869849051677e-05	-3.96114096311894
UROD	2.81869849051677e-05	-3.95673014418497
TOMM22	2.81869849051677e-05	-3.95528279537167
UBA3	2.81869849051677e-05	-3.95519524452562
ERCC2	2.81869849051677e-05	-3.94789758260409
SF3B2	2.81869849051677e-05	-3.94328443456371
MVD	2.81869849051677e-05	-3.94327968094308
YARS	2.81869849051677e-05	-3.94025923272331
PSMC3	2.81869849051677e-05	-3.93649149181799
CSNK2B	2.81869849051677e-05	-3.93600428052365
CHMP2A	2.81869849051677e-05	-3.93517425683739
DOLK	2.81869849051677e-05	-3.93430379124456
PUF60	2.81869849051677e-05	-3.9333876080511
RFK	2.81869849051677e-05	-3.93267415525221
LRR1	2.81869849051677e-05	-3.92816527876678
PIK3C3	2.81869849051677e-05	-3.92756376994114
DHDDS	2.81869849051677e-05	-3.92040700303898
RPL11	2.81869849051677e-05	-3.91965608835425
RPL27A	2.81869849051677e-05	-3.91824130514591
NAA25	2.81869849051677e-05	-3.91696531860631
VPS51	2.81869849051677e-05	-3.91629071318453
MRPS25	2.81869849051677e-05	-3.9123397679172
LAS1L	2.81869849051677e-05	-3.90758006492739
RPL10	2.81869849051677e-05	-3.90405829180626
YRDC	2.81869849051677e-05	-3.8998377122882
BUB3	2.81869849051677e-05	-3.8950733347075
NSA2	2.81869849051677e-05	-3.89459057163184
C9orf114	2.81869849051677e-05	-3.89150819336164
PSMC4	2.81869849051677e-05	-3.88985917040673
SMC3	2.81869849051677e-05	-3.88913814636433
RPS4X	2.81869849051677e-05	-3.88634860828181
CIAO1	2.81869849051677e-05	-3.88086889671025
WDR61	2.81869849051677e-05	-3.8800809445902
PHB2	2.81869849051677e-05	-3.87968604991336
TIMM10	2.81869849051677e-05	-3.87721321123109
PSMD1	2.81869849051677e-05	-3.87524702810334
SNAPC5	2.81869849051677e-05	-3.87130442296708
RPL37	2.81869849051677e-05	-3.86663518575165
UBE2I	2.81869849051677e-05	-3.86260790594665
GTF2B	2.81869849051677e-05	-3.85857458971232
MRP63	2.81869849051677e-05	-3.85704150941218
PLK1	2.81869849051677e-05	-3.8568151809571
FAM96B	2.81869849051677e-05	-3.85077446612618
RPA1	2.81869849051677e-05	-3.85053677032278
WDR33	2.81869849051677e-05	-3.84572137407676
TUBB	2.81869849051677e-05	-3.83615157538139
RANGAP1	2.81869849051677e-05	-3.83421636454217
NDOR1	2.81869849051677e-05	-3.8327794812242
NDC80	2.81869849051677e-05	-3.83167885423004
SF3A1	2.81869849051677e-05	-3.83166691206212
PSMB3	2.81869849051677e-05	-3.83085652226096
RAD9A	2.81869849051677e-05	-3.82956789444456
HINFP	2.81869849051677e-05	-3.8290527172062
ACTL6A	2.81869849051677e-05	-3.82680636890693
NARS2	2.81869849051677e-05	-3.82666444644944
EXOSC4	2.81869849051677e-05	-3.82459177686641
DNAJC11	2.81869849051677e-05	-3.82308962576468
ATP6AP1	2.81869849051677e-05	-3.81971741043096
EPRS	2.81869849051677e-05	-3.8194634976517
C21orf59	2.81869849051677e-05	-3.81790094506669
INCENP	2.81869849051677e-05	-3.81667912396498
CPSF1	2.81869849051677e-05	-3.81079040259064
COX17	2.81869849051677e-05	-3.81060991327098
ECD	2.81869849051677e-05	-3.8097208000712
DHODH	2.81869849051677e-05	-3.80965474385091
GAPDH	2.81869849051677e-05	-3.80793773015667
VARS2	2.81869849051677e-05	-3.80555012865803
CSE1L	2.81869849051677e-05	-3.8038047782213
WARS	2.81869849051677e-05	-3.8026972586472
IMPDH2	2.81869849051677e-05	-3.80266742441107
TAF3	2.81869849051677e-05	-3.80239378273714
CDC16	2.81869849051677e-05	-3.80138650006225
CLPP	2.81869849051677e-05	-3.79837863729034
TARS2	2.81869849051677e-05	-3.79782484850285
FBXW11	2.81869849051677e-05	-3.79774618859871
POLR2A	2.81869849051677e-05	-3.79184880581437
NRDE2	2.81869849051677e-05	-3.79029766367743
GCLC	2.81869849051677e-05	-3.78995482181085
WDR3	2.81869849051677e-05	-3.78993644788496
MTOR	2.81869849051677e-05	-3.78488984115589
OSGEP	2.81869849051677e-05	-3.78437260078736
RFC2	2.81869849051677e-05	-3.78029419361856
BRF2	2.81869849051677e-05	-3.77976457062989
KRI1	2.81869849051677e-05	-3.77959744697508
SLC16A1	2.81869849051677e-05	-3.77052075775258
NSF	2.81869849051677e-05	-3.77021891763238
DNMT1	2.81869849051677e-05	-3.77012778841589
GLRX5	2.81869849051677e-05	-3.76974915688066
EXOSC6	2.81869849051677e-05	-3.76835113910031
WDR5	2.81869849051677e-05	-3.76830248762165
ESPL1	2.81869849051677e-05	-3.76581899351552
NOP16	2.81869849051677e-05	-3.76413689121321
EIF3I	2.81869849051677e-05	-3.76385068300486
CLUH	2.81869849051677e-05	-3.76329654770744
POLR3C	2.81869849051677e-05	-3.76100468959597
ELP3	2.81869849051677e-05	-3.75967866939945
CSNK1A1	2.81869849051677e-05	-3.75821385161911
CDK9	2.81869849051677e-05	-3.75599273237876
RPL27	2.81869849051677e-05	-3.75472607540464
PHB	2.81869849051677e-05	-3.74761693202864
UPF2	2.81869849051677e-05	-3.74529896677196
SUPT6H	2.81869849051677e-05	-3.74364755800733
AURKB	2.81869849051677e-05	-3.74327353312249
NUP85	2.81869849051677e-05	-3.74245869408677
TRAIP	2.81869849051677e-05	-3.74043527138594
DHFR	2.81869849051677e-05	-3.73996267640899
PPP6C	2.81869849051677e-05	-3.73903982504865
MCM2	2.81869849051677e-05	-3.73191198731292
DDX47	2.81869849051677e-05	-3.73166881520059
TRMT5	2.81869849051677e-05	-3.72873437201569
TTI1	2.81869849051677e-05	-3.72783401005912
TFAM	2.81869849051677e-05	-3.72532413862235
PSMD12	2.81869849051677e-05	-3.7251287377456
RPL10A	2.81869849051677e-05	-3.71911197631363
PISD	2.81869849051677e-05	-3.71756359801134
GFM1	2.81869849051677e-05	-3.71647844379013
CHAF1A	2.81869849051677e-05	-3.71629443188139
NUDC	2.81869849051677e-05	-3.7152299363504
DLD	2.81869849051677e-05	-3.71509820652561
TRMT61A	2.81869849051677e-05	-3.71396768288311
NFU1	2.81869849051677e-05	-3.71292524666218
SNAPC4	2.81869849051677e-05	-3.70875626965047
DAP3	2.81869849051677e-05	-3.7073862261758
RPL23	2.81869849051677e-05	-3.70652621356695
COX6B1	2.81869849051677e-05	-3.7023110439905
UTP20	2.81869849051677e-05	-3.7014665060075
MAX	2.81869849051677e-05	-3.70066044482996
NDUFA1	2.81869849051677e-05	-3.69656694688573
TRRAP	2.81869849051677e-05	-3.69492953921251
MTG2	2.81869849051677e-05	-3.69471139619216
XRCC3	2.81869849051677e-05	-3.69016830977021
NOP2	2.81869849051677e-05	-3.68980166685856
PAK1IP1	2.81869849051677e-05	-3.68912109868769
CDC45	2.81869849051677e-05	-3.68755891934927
HCFC1	2.81869849051677e-05	-3.68229224348749
SDHA	2.81869849051677e-05	-3.6804320739446
GNB1L	2.81869849051677e-05	-3.68024069725224
GTF3C1	2.81869849051677e-05	-3.6786712184521
RFC1	2.81869849051677e-05	-3.67345236590851
RUNX1	2.81869849051677e-05	-3.66995108540351
PABPN1	2.81869849051677e-05	-3.66525254129816
PRPF19	2.81869849051677e-05	-3.6641269134863
PSMG3	2.81869849051677e-05	-3.66181963288818
PRPF38B	2.81869849051677e-05	-3.66109023997352
TNPO3	2.81869849051677e-05	-3.65712114496676
WBSCR22	2.81869849051677e-05	-3.65460690093717
PRMT1	2.81869849051677e-05	-3.65079911831671
PRPF6	2.81869849051677e-05	-3.65031441566171
INTS6	2.81869849051677e-05	-3.64999553690365
MRPS14	2.81869849051677e-05	-3.64985156296173
TPI1	2.81869849051677e-05	-3.64892194551801
POLR3A	2.81869849051677e-05	-3.64773646710112
HSPA8	2.81869849051677e-05	-3.64713981750327
PRELID1	2.81869849051677e-05	-3.64397483471401
EFTUD2	2.81869849051677e-05	-3.64213353856859
RPA2	2.81869849051677e-05	-3.64187779062443
NUDCD3	2.81869849051677e-05	-3.64156771467577
EXOSC7	2.81869849051677e-05	-3.64078438802259
MRPL41	2.81869849051677e-05	-3.63845017826229
DPAGT1	2.81869849051677e-05	-3.63798304606181
URB2	2.81869849051677e-05	-3.63472651594151
PPP4C	2.81869849051677e-05	-3.63427005116485
PSMC2	2.81869849051677e-05	-3.63305471744314
FARSA	2.81869849051677e-05	-3.63215557581072
SARS2	2.81869849051677e-05	-3.63134000334401
NELFB	2.81869849051677e-05	-3.63061633719934
C16orf80	2.81869849051677e-05	-3.63015040073205
DDX56	2.81869849051677e-05	-3.62789844569062
PSMD6	2.81869849051677e-05	-3.62733183354668
EIF2B1	2.81869849051677e-05	-3.62590945786633
NVL	2.81869849051677e-05	-3.62378345375551
GFER	2.81869849051677e-05	-3.62358463622142
TUBA1B	2.81869849051677e-05	-3.62116016858661
RFC3	2.81869849051677e-05	-3.61778576422121
ATP6V0B	2.81869849051677e-05	-3.61747914413491
DHX15	2.81869849051677e-05	-3.61719724688986
FTSJ2	2.81869849051677e-05	-3.61671056794182
MRPL18	2.81869849051677e-05	-3.61103859608399
XAB2	2.81869849051677e-05	-3.61014585838072
COPE	2.81869849051677e-05	-3.60978444786527
ISY1-RAB43	2.81869849051677e-05	-3.60875944299714
UTP6	2.81869849051677e-05	-3.60616166178356
WEE1	2.81869849051677e-05	-3.60547823835616
HMGCR	2.81869849051677e-05	-3.60540645738345
SLC35B1	2.81869849051677e-05	-3.60380271289561
LARS2	2.81869849051677e-05	-3.60051133003258
SMG6	2.81869849051677e-05	-3.59988398092659
MCM5	2.81869849051677e-05	-3.59945714409133
COA3	2.81869849051677e-05	-3.5972778731917
RPS23	2.81869849051677e-05	-3.59442456004642
CCT2	2.81869849051677e-05	-3.59439516900073
SETD1A	2.81869849051677e-05	-3.59418476710729
NIP7	2.81869849051677e-05	-3.5933438480122
NUDT21	2.81869849051677e-05	-3.59228956713753
THOC2	2.81869849051677e-05	-3.59153811223264
MRPS27	2.81869849051677e-05	-3.59067350564355
RPS3	2.81869849051677e-05	-3.58922733695164
LIAS	2.81869849051677e-05	-3.58877245006823
NLE1	2.81869849051677e-05	-3.58742368736001
TXNRD1	2.81869849051677e-05	-3.58358833623739
CYC1	2.81869849051677e-05	-3.58306645768465
CDCA8	2.81869849051677e-05	-3.58301237438439
SLC7A1	2.81869849051677e-05	-3.5826902646915
XPO1	2.81869849051677e-05	-3.58052812305365
DDX18	2.81869849051677e-05	-3.57785426045138
MRPS21	2.81869849051677e-05	-3.5763749752147
RBM14-RBM4	2.81869849051677e-05	-3.57221837450636
RBM14	2.81869849051677e-05	-3.57221837450636
LSM7	2.81869849051677e-05	-3.56931209798113
NSUN4	2.81869849051677e-05	-3.56906687626235
UBL5	2.81869849051677e-05	-3.56861446604367
CNOT1	2.81869849051677e-05	-3.56775008243958
SSRP1	2.81869849051677e-05	-3.56221393044002
DNM1L	2.81869849051677e-05	-3.56050286758552
SMC6	2.81869849051677e-05	-3.55918190147363
FARSB	2.81869849051677e-05	-3.55595297499968
TTC27	2.81869849051677e-05	-3.554757737912
NHLRC2	2.81869849051677e-05	-3.55064251113008
TIMM44	2.81869849051677e-05	-3.55038410895202
SF1	2.81869849051677e-05	-3.55036240173024
SNRPD2	2.81869849051677e-05	-3.54975527522893
NAPA	2.81869849051677e-05	-3.549011639001
WDR77	2.81869849051677e-05	-3.54884024676235
DDOST	2.81869849051677e-05	-3.54783577103496
SEC13	2.81869849051677e-05	-3.54557589644311
DIEXF	2.81869849051677e-05	-3.54522473488927
RPTOR	2.81869849051677e-05	-3.5419206194753
MCM7	2.81869849051677e-05	-3.54155835989962
SRCAP	2.81869849051677e-05	-3.54107300839156
UBA1	2.81869849051677e-05	-3.53708816933592
RBM17	2.81869849051677e-05	-3.53671986840728
POLR3E	2.81869849051677e-05	-3.53420145253098
MCM3	2.81869849051677e-05	-3.5336091679791
PPIE	2.81869849051677e-05	-3.53253776090277
NUP155	2.81869849051677e-05	-3.53182756122899
RAE1	2.81869849051677e-05	-3.52952192561088
CPSF3L	2.81869849051677e-05	-3.52669935717467
CPSF3	2.81869849051677e-05	-3.52639279664619
CHD4	2.81869849051677e-05	-3.52609870011285
SMU1	2.81869849051677e-05	-3.52525655980884
DNLZ	2.81869849051677e-05	-3.52361486341834
UBE2G2	2.81869849051677e-05	-3.52057811822461
TTC1	2.81869849051677e-05	-3.5201799389785
POLR3H	2.81869849051677e-05	-3.51623032326326
DHX9	2.81869849051677e-05	-3.51501312309157
YTHDC1	2.81869849051677e-05	-3.51300803418296
RPS9	2.81869849051677e-05	-3.51212427259854
RNGTT	2.81869849051677e-05	-3.50985995556552
MARS2	2.81869849051677e-05	-3.50861709785748
RTCB	2.81869849051677e-05	-3.50784085171155
PNKP	2.81869849051677e-05	-3.5067783627978
ELL	2.81869849051677e-05	-3.50661580968539
HYOU1	2.81869849051677e-05	-3.50153990227395
NCAPH	2.81869849051677e-05	-3.50124012043668
NDUFB7	2.81869849051677e-05	-3.49584525861646
RRP12	2.81869849051677e-05	-3.49315616772958
UPF1	2.81869849051677e-05	-3.4922062920084
DROSHA	2.81869849051677e-05	-3.48829398480036
CRLS1	2.81869849051677e-05	-3.48515646806049
LRPPRC	2.81869849051677e-05	-3.4848706405006
NRF1	2.81869849051677e-05	-3.48438739094744
UBR5	2.81869849051677e-05	-3.48423164221876
EXOSC2	2.81869849051677e-05	-3.48355232913522
FDXR	2.81869849051677e-05	-3.48273329047859
CENPK	2.81869849051677e-05	-3.48139735972441
MED17	2.81869849051677e-05	-3.48016154718224
NUF2	2.81869849051677e-05	-3.47982113456998
SS18L2	2.81869849051677e-05	-3.47654402397554
SNAPC2	2.81869849051677e-05	-3.47564902654296
POLA2	2.81869849051677e-05	-3.47385093857316
MRPL21	2.81869849051677e-05	-3.47334008657254
SBNO1	2.81869849051677e-05	-3.47261524574228
EIF2AK1	2.81869849051677e-05	-3.47203772147094
OGDH	2.81869849051677e-05	-3.45595342116397
RRM2	2.81869849051677e-05	-3.45455086292303
FBL	2.81869849051677e-05	-3.45419510969207
NDUFA13	2.81869849051677e-05	-3.45226387148167
PSMB4	2.81869849051677e-05	-3.45107300566424
ISY1	2.81869849051677e-05	-3.4503560333318
MDN1	2.81869849051677e-05	-3.45004101508198
SNRNP25	2.81869849051677e-05	-3.44917286891953
CPSF2	2.81869849051677e-05	-3.44649229755835
NARFL	2.81869849051677e-05	-3.44644196758536
RAD51	2.81869849051677e-05	-3.44051319356245
SMG1	2.81869849051677e-05	-3.43854387958263
ELAC2	2.81869849051677e-05	-3.43606960173717
GUK1	2.81869849051677e-05	-3.43351525001596
PSMG2	2.81869849051677e-05	-3.43285619292512
DNAJA3	2.81869849051677e-05	-3.43204570132248
RPS13	2.81869849051677e-05	-3.43186739031133
SHQ1	2.81869849051677e-05	-3.43131615479793
ASNA1	2.81869849051677e-05	-3.42954715458328
BAP1	2.81869849051677e-05	-3.42756051842135
AQR	2.81869849051677e-05	-3.42746640431323
SNRNP35	2.81869849051677e-05	-3.4254837338682
GGPS1	2.81869849051677e-05	-3.42476698998775
POLR2G	2.81869849051677e-05	-3.4230512555903
UTP23	2.81869849051677e-05	-3.42195161617022
VCP	2.81869849051677e-05	-3.42187222032221
CENPA	2.81869849051677e-05	-3.42146508972659
PRPF31	2.81869849051677e-05	-3.42144895956632
CCNK	2.81869849051677e-05	-3.42085872095423
BIRC5	2.81869849051677e-05	-3.41561210812435
TSEN34	2.81869849051677e-05	-3.4149348585361
SLC25A19	2.81869849051677e-05	-3.41484621345566
GTF3C2	2.81869849051677e-05	-3.41456838464962
ACLY	2.81869849051677e-05	-3.41314627070089
AARS	2.81869849051677e-05	-3.4129755814047
SLC30A9	2.81869849051677e-05	-3.40908057468131
SEPHS2	2.81869849051677e-05	-3.40899572687047
ADSL	2.81869849051677e-05	-3.40892963194151
PCBP1	2.81869849051677e-05	-3.40712511301276
PSMA1	2.81869849051677e-05	-3.40544202994386
CHMP6	2.81869849051677e-05	-3.40363059633573
HAUS5	2.81869849051677e-05	-3.40105277273342
TTI2	2.81869849051677e-05	-3.39890841367663
DDX54	2.81869849051677e-05	-3.39810241813674
SRFBP1	2.81869849051677e-05	-3.39683244308389
SETD1B	2.81869849051677e-05	-3.39661836023294
UQCRC1	2.81869849051677e-05	-3.39564283932228
TAF6L	2.81869849051677e-05	-3.39467134267633
ZNF622	2.81869849051677e-05	-3.39432801338527
TRA2B	2.81869849051677e-05	-3.39318779971923
PMVK	2.81869849051677e-05	-3.39306446091731
POLRMT	2.81869849051677e-05	-3.39258849351195
MRPL37	2.81869849051677e-05	-3.3913425121608
RRS1	2.81869849051677e-05	-3.39111338689829
DHX38	2.81869849051677e-05	-3.38717946385615
BRCA1	2.81869849051677e-05	-3.38568611224321
PDRG1	2.81869849051677e-05	-3.38337327234531
RTEL1	2.81869849051677e-05	-3.38251441876066
DTL	2.81869849051677e-05	-3.3824255486961
EXOSC10	2.81869849051677e-05	-3.38172945854042
RPS11	2.81869849051677e-05	-3.38117938724196
SOD2	2.81869849051677e-05	-3.38111393744329
ANKLE2	2.81869849051677e-05	-3.38060835366136
POLE	2.81869849051677e-05	-3.38058529146077
FBXW7	2.81869849051677e-05	-3.37774600276882
PKM	2.81869849051677e-05	-3.3773231896668
NAMPT	2.81869849051677e-05	-3.37661097567648
KANSL3	2.81869849051677e-05	-3.37417859090203
TRUB2	2.81869849051677e-05	-3.3696144642986
ZNF574	2.81869849051677e-05	-3.36935551781689
ANAPC2	2.81869849051677e-05	-3.35974785113051
RAD51D	2.81869849051677e-05	-3.35853751448593
RBM8A	2.81869849051677e-05	-3.35680339392639
NOP9	2.81869849051677e-05	-3.35520587657295
C3orf17	2.81869849051677e-05	-3.35491257501369
GRWD1	2.81869849051677e-05	-3.35460628745827
EIF2S3	2.81869849051677e-05	-3.35381106640133
PRC1	2.81869849051677e-05	-3.35075168894139
NSMCE1	2.81869849051677e-05	-3.35044073296224
TIMELESS	2.81869849051677e-05	-3.34947745733708
