"The columns labelled ""TMHMM_Topology"" and ""SIGNALP"" list the position of transmembrane helices and signal peptide as predicted for each protein by TMHMM and SignalP, respectively .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The entire proteomics dataset may be downloaded from ProteomeCommons.org Tranche using the following hash identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0+dFTyowQ/097oJw7Y42TM+I9C1nKY318+GSkIjtaGLtqOLG7S2B4LnrvznhStw2ArVLuD9dOCotoQlW5cZSDLiLKwAAAAAAAALiQ==,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,U1 (RLY2626): WT euploid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2 (RLY4927): 1 extra copy of chromosomes II and XII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A3 (RLY4928): 1 extra copy of chromosomes I, II and XII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A13 (RLY4938): 1 extra copy of chromosomes I, II, VIII, XI and XIII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A14 (RLY4939): 1 extra copy of chromosomes IX and XVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A15 (RLY4940): 1 extra copy of chromosomes II, III, VII, IX, XI and XII",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 dNSAF_Rank,Proteins In Group,Description,Length,MW,pI,TMHMM_Topology,SIGNALP_HMM_TYPE (S= Signal; A= Anchor; Q= none),Gene,Locus_Tag,Chromosome,RLY2626_euploid-1_P,RLY2626_euploid-1_S,RLY2626_euploid-1_sS,RLY2626_euploid-1_uDP,RLY2626_euploid-1_uS,RLY2626_euploid-1_dS,RLY2626_euploid-1_SC,RLY2626_euploid-1_dNSAF,RLY2626_euploid-7_P,RLY2626_euploid-7_S,RLY2626_euploid-7_sS,RLY2626_euploid-7_uDP,RLY2626_euploid-7_uS,RLY2626_euploid-7_dS,RLY2626_euploid-7_SC,RLY2626_euploid-7_dNSAF,RLY2626_euploid-13_P,RLY2626_euploid-13_S,RLY2626_euploid-13_sS,RLY2626_euploid-13_uDP,RLY2626_euploid-13_uS,RLY2626_euploid-13_dS,RLY2626_euploid-13_SC,RLY2626_euploid-13_dNSAF,RLY2626_euploid-19_P,RLY2626_euploid-19_S,RLY2626_euploid-19_sS,RLY2626_euploid-19_uDP,RLY2626_euploid-19_uS,RLY2626_euploid-19_dS,RLY2626_euploid-19_SC,RLY2626_euploid-19_dNSAF,RLY2626 dNSAF AVG,RLY2626 Detected # Out of 4,RLY4927_aneuploid-2_P,RLY4927_aneuploid-2_S,RLY4927_aneuploid-2_sS,RLY4927_aneuploid-2_uDP,RLY4927_aneuploid-2_uS,RLY4927_aneuploid-2_dS,RLY4927_aneuploid-2_SC,RLY4927_aneuploid-2_dNSAF,RLY4927_aneuploid-8_P,RLY4927_aneuploid-8_S,RLY4927_aneuploid-8_sS,RLY4927_aneuploid-8_uDP,RLY4927_aneuploid-8_uS,RLY4927_aneuploid-8_dS,RLY4927_aneuploid-8_SC,RLY4927_aneuploid-8_dNSAF,RLY4927_aneuploid-14_P,RLY4927_aneuploid-14_S,RLY4927_aneuploid-14_sS,RLY4927_aneuploid-14_uDP,RLY4927_aneuploid-14_uS,RLY4927_aneuploid-14_dS,RLY4927_aneuploid-14_SC,RLY4927_aneuploid-14_dNSAF,RLY4927_aneuploid-20_P,RLY4927_aneuploid-20_S,RLY4927_aneuploid-20_sS,RLY4927_aneuploid-20_uDP,RLY4927_aneuploid-20_uS,RLY4927_aneuploid-20_dS,RLY4927_aneuploid-20_SC,RLY4927_aneuploid-20_dNSAF,RLY4927 dNSAF AVG,RLY4927 Detected # Out of 4,RLY4928_aneuploid-3_P,RLY4928_aneuploid-3_S,RLY4928_aneuploid-3_sS,RLY4928_aneuploid-3_uDP,RLY4928_aneuploid-3_uS,RLY4928_aneuploid-3_dS,RLY4928_aneuploid-3_SC,RLY4928_aneuploid-3_dNSAF,RLY4928_aneuploid-9_P,RLY4928_aneuploid-9_S,RLY4928_aneuploid-9_sS,RLY4928_aneuploid-9_uDP,RLY4928_aneuploid-9_uS,RLY4928_aneuploid-9_dS,RLY4928_aneuploid-9_SC,RLY4928_aneuploid-9_dNSAF,RLY4928_aneuploid-15_P,RLY4928_aneuploid-15_S,RLY4928_aneuploid-15_sS,RLY4928_aneuploid-15_uDP,RLY4928_aneuploid-15_uS,RLY4928_aneuploid-15_dS,RLY4928_aneuploid-15_SC,RLY4928_aneuploid-15_dNSAF,RLY4928_aneuploid-21_P,RLY4928_aneuploid-21_S,RLY4928_aneuploid-21_sS,RLY4928_aneuploid-21_uDP,RLY4928_aneuploid-21_uS,RLY4928_aneuploid-21_dS,RLY4928_aneuploid-21_SC,RLY4928_aneuploid-21_dNSAF,RLY4928 dNSAF AVG,RLY4928 Detected # Out of 4,RLY4938_aneuploid-4_P,RLY4938_aneuploid-4_S,RLY4938_aneuploid-4_sS,RLY4938_aneuploid-4_uDP,RLY4938_aneuploid-4_uS,RLY4938_aneuploid-4_dS,RLY4938_aneuploid-4_SC,RLY4938_aneuploid-4_dNSAF,RLY4938_aneuploid-10_P,RLY4938_aneuploid-10_S,RLY4938_aneuploid-10_sS,RLY4938_aneuploid-10_uDP,RLY4938_aneuploid-10_uS,RLY4938_aneuploid-10_dS,RLY4938_aneuploid-10_SC,RLY4938_aneuploid-10_dNSAF,RLY4938_aneuploid-16_P,RLY4938_aneuploid-16_S,RLY4938_aneuploid-16_sS,RLY4938_aneuploid-16_uDP,RLY4938_aneuploid-16_uS,RLY4938_aneuploid-16_dS,RLY4938_aneuploid-16_SC,RLY4938_aneuploid-16_dNSAF,RLY4938_aneuploid-22_P,RLY4938_aneuploid-22_S,RLY4938_aneuploid-22_sS,RLY4938_aneuploid-22_uDP,RLY4938_aneuploid-22_uS,RLY4938_aneuploid-22_dS,RLY4938_aneuploid-22_SC,RLY4938_aneuploid-22_dNSAF,RLY4938 dNSAF AVG,RLY4938 Detected # Out of 4,RLY4939_aneuploid-5_P,RLY4939_aneuploid-5_S,RLY4939_aneuploid-5_sS,RLY4939_aneuploid-5_uDP,RLY4939_aneuploid-5_uS,RLY4939_aneuploid-5_dS,RLY4939_aneuploid-5_SC,RLY4939_aneuploid-5_dNSAF,RLY4939_aneuploid-11_P,RLY4939_aneuploid-11_S,RLY4939_aneuploid-11_sS,RLY4939_aneuploid-11_uDP,RLY4939_aneuploid-11_uS,RLY4939_aneuploid-11_dS,RLY4939_aneuploid-11_SC,RLY4939_aneuploid-11_dNSAF,RLY4939_aneuploid-17_P,RLY4939_aneuploid-17_S,RLY4939_aneuploid-17_sS,RLY4939_aneuploid-17_uDP,RLY4939_aneuploid-17_uS,RLY4939_aneuploid-17_dS,RLY4939_aneuploid-17_SC,RLY4939_aneuploid-17_dNSAF,RLY4939_aneuploid-23_P,RLY4939_aneuploid-23_S,RLY4939_aneuploid-23_sS,RLY4939_aneuploid-23_uDP,RLY4939_aneuploid-23_uS,RLY4939_aneuploid-23_dS,RLY4939_aneuploid-23_SC,RLY4939_aneuploid-23_dNSAF,RLY4939 dNSAF AVG,RLY4939 Detected # Out of 4,RLY4940_aneuploid-6_P,RLY4940_aneuploid-6_S,RLY4940_aneuploid-6_sS,RLY4940_aneuploid-6_uDP,RLY4940_aneuploid-6_uS,RLY4940_aneuploid-6_dS,RLY4940_aneuploid-6_SC,RLY4940_aneuploid-6_dNSAF,RLY4940_aneuploid-12_P,RLY4940_aneuploid-12_S,RLY4940_aneuploid-12_sS,RLY4940_aneuploid-12_uDP,RLY4940_aneuploid-12_uS,RLY4940_aneuploid-12_dS,RLY4940_aneuploid-12_SC,RLY4940_aneuploid-12_dNSAF,RLY4940_aneuploid-18_P,RLY4940_aneuploid-18_S,RLY4940_aneuploid-18_sS,RLY4940_aneuploid-18_uDP,RLY4940_aneuploid-18_uS,RLY4940_aneuploid-18_dS,RLY4940_aneuploid-18_SC,RLY4940_aneuploid-18_dNSAF,RLY4940_aneuploid-24_P,RLY4940_aneuploid-24_S,RLY4940_aneuploid-24_sS,RLY4940_aneuploid-24_uDP,RLY4940_aneuploid-24_uS,RLY4940_aneuploid-24_dS,RLY4940_aneuploid-24_SC,RLY4940_aneuploid-24_dNSAF,RLY4940 dNSAF AVG,RLY4940 Detected # Out of 4,,
1,gi|6321631|ref|NP_011708.1|,"Glyceraldehyde-3-phosphate dehydrogenase, isozyme 3, involved in glycolysis and gluconeogenesis; tetramer that catalyzes the reaction of glyceraldehyde-3-phosphate to 1,3 bis-phosphoglycerate; detected in the cytoplasm and cell-wall; Tdh3p [Saccharomyces ",332,35747,7,o,Q,TDH3,YGR192C,VII,40,1531,679,14,852,1432.845842,88.55,0.04738578,42,2443,964,15,1479,2359.557776,87.05,0.07275558,42,2390,960,15,1430,2267.355253,86.14,0.0613895,36,2117,1021,15,1096,1956.525464,84.64,0.06482544,0.061589,4,42,1897,562,15,1335,1826.519634,84.04,0.06106972,40,1826,675,15,1151,1753.340813,86.14,0.06479101,37,1665,885,14,780,1587.8202,82.83,0.0549765,37,1831,770,15,1061,1727.774062,79.52,0.05443174,0.058817,4,41,2101,626,16,1475,2010.205423,84.64,0.06236898,39,1980,666,15,1314,1922.268942,85.54,0.05683635,38,1362,488,16,874,1303.175951,86.45,0.0417382,37,1966,685,16,1281,1888.193966,80.72,0.06618168,0.056781,4,41,1704,578,16,1126,1670.448575,85.54,0.04805608,39,1566,566,16,1000,1528.107447,84.64,0.04492844,36,1972,505,14,1467,1921.202371,79.82,0.05571598,39,1601,585,16,1016,1562.423898,89.16,0.04563622,0.048584,4,43,2260,944,15,1316,2116.247018,86.75,0.05732498,37,1933,753,15,1180,1845.626056,85.84,0.05654888,38,2204,885,13,1319,2136.349276,85.54,0.07547422,42,2179,844,16,1335,2075.470541,84.64,0.05942113,0.062192,4,42,3025,1144,15,1881,2984.673292,82.53,0.07875344,39,3379,1219,14,2160,3330.157884,84.04,0.08936548,35,2596,1027,15,1569,2534.998009,80.72,0.07320826,47,2874,1166,17,1708,2827.862097,89.76,0.07477213,0.079025,4,,
2,gi|6321968|ref|NP_012044.1|,"Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is induced in response to glucose; Eno2p [Saccharomyces cerevi",437,46914,6,o,Q,ENO2,YHR174W,VIII,39,1264,687,24,577,1255.765411,80.09,0.03155104,44,2538,1104,26,1434,2531.114345,80.32,0.0592931,45,2675,1475,27,1200,2648.445172,80.32,0.05447813,36,2069,1084,19,985,2047.427861,79.41,0.05153772,0.049215,4,39,1363,754,22,609,1358.308824,79.86,0.03450299,35,1401,889,18,512,1397.540856,77.8,0.03923463,35,1327,745,17,582,1324.44863,82.61,0.03483915,38,2040,1139,20,901,2037.477298,79.41,0.04876573,0.039336,4,38,1587,805,23,782,1582.903308,80.78,0.0373112,38,1938,981,21,957,1928.860248,79.41,0.04332808,41,1332,744,23,588,1319.558528,78.26,0.0321082,38,1942,1095,20,847,1930.48715,79.41,0.05140611,0.041038,4,48,2222,963,29,1259,2193.065485,81.46,0.04793177,39,2030,1075,22,955,2001.508665,79.86,0.04470762,44,1817,930,26,887,1766.434968,80.78,0.03891894,46,2316,1095,27,1221,2272.923682,80.32,0.05043736,0.045499,4,44,2038,935,27,1103,1978.471138,82.38,0.04071589,40,1876,979,22,897,1858.843373,79.86,0.04326929,37,1855,972,20,883,1828.237885,76.66,0.04906996,40,1958,1003,22,955,1921.564077,79.86,0.04179611,0.043713,4,43,2526,1463,23,1063,2520.515464,79.18,0.05052644,33,3035,1511,17,1524,3029.07451,77.35,0.06175492,36,2043,1142,21,901,2039.210177,76.89,0.04474052,53,2387,1173,30,1214,2366.121359,91.08,0.04753081,0.051138,4,,
3,gi|6323138|ref|NP_013210.1|,"Thiol-specific peroxiredoxin, reduces hydroperoxides to protect against oxidative damage; function in vivo requires covalent conjugation to Urm1p; Ahp1p [Saccharomyces cerevisiae] ",176,19115,5.2,o,Q,AHP1,YLR109W,XII,13,496,0,13,496,496,81.25,0.03094252,11,385,0,11,385,385,86.36,0.02239349,15,791,0,15,791,791,86.36,0.04039954,11,696,0,11,696,696,84.66,0.04350054,0.034309,4,15,845,0,15,845,845,86.36,0.05329466,15,727,0,15,727,727,85.8,0.05067669,15,618,0,15,618,618,91.48,0.04036358,14,1039,0,14,1039,1039,86.36,0.06174563,0.05152,4,14,727,0,14,727,727,85.8,0.04254887,15,1070,1,15,1069,1069,86.36,0.05962319,15,689,0,15,689,689,86.36,0.04162702,14,906,0,14,906,906,86.36,0.05990248,0.050925,4,15,464,0,15,464,464,86.36,0.02518017,14,455,0,14,455,455,86.36,0.02523505,13,872,0,13,872,872,80.11,0.04770332,15,554,0,15,554,554,86.36,0.03052432,0.032161,4,14,802,0,14,802,802,85.8,0.0409805,15,434,0,15,434,434,86.36,0.02508392,16,484,0,16,484,484,86.36,0.03225501,15,577,0,15,577,577,86.36,0.03116202,0.03237,4,17,1036,0,17,1036,1036,86.36,0.05156534,11,1212,0,11,1212,1212,84.66,0.06135261,14,1131,0,14,1131,1131,85.8,0.06161273,14,805,0,14,805,805,86.36,0.0401516,0.053671,4,,
4,gi|6322790|ref|NP_012863.1|,"Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; Fba1p [Saccharom",359,39621,5.8,o,Q,FBA1,YKL060C,XI,18,727,0,18,727,727,56.55,0.02223446,26,1124,0,26,1124,1124,64.62,0.0320513,25,1198,0,25,1198,1198,67.13,0.0299968,22,989,0,22,989,989,58.22,0.030304,0.028647,4,23,718,0,23,718,718,62.12,0.02220085,25,732,0,25,732,732,62.95,0.02501515,20,874,1,20,873,873,66.02,0.02795334,24,995,0,24,995,995,68.8,0.02898892,0.02604,4,22,811,0,22,811,811,62.12,0.0232698,25,875,0,25,875,875,68.8,0.02392565,25,587,0,25,587,587,62.12,0.01738651,25,823,0,25,823,823,68.8,0.02667686,0.022815,4,30,1260,0,30,1260,1260,69.64,0.03352196,26,1127,0,26,1127,1127,64.62,0.03064326,26,1011,0,26,1011,1011,64.62,0.02711449,27,1180,0,27,1180,1180,66.3,0.03187399,0.030788,4,27,1120,0,27,1120,1120,66.3,0.02805687,26,1008,0,26,1008,1008,68.8,0.02856173,23,1012,0,23,1012,1012,62.12,0.03306363,27,1031,0,27,1031,1031,62.12,0.02729774,0.029245,4,26,1483,0,26,1483,1483,68.8,0.03618741,22,1783,0,22,1783,1783,58.77,0.04424864,21,1064,0,21,1064,1064,61.84,0.02841631,26,1480,0,26,1480,1480,67.13,0.03618986,0.036261,4,,
5,gi|10383781|ref|NP_009938.2|,"3-phosphoglycerate kinase, catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis; Pgk1p [Saccharomyces cerevisiae] ",416,44738,7.6,o,Q,PGK1,YCR012W,III,32,758,0,32,758,758,75.48,0.0200061,38,855,0,38,855,855,80.77,0.02104004,38,1228,0,38,1228,1228,87.02,0.02653491,36,938,0,36,938,938,78.37,0.02480319,0.023096,4,31,558,0,31,558,558,78.61,0.01488951,34,689,0,34,689,689,81.49,0.02031947,30,492,0,30,492,492,74.76,0.0135952,36,811,0,36,811,811,79.09,0.02039064,0.017299,4,32,764,0,32,764,764,77.4,0.01891761,36,849,0,36,849,849,78.61,0.02003385,33,680,0,33,680,680,77.88,0.01738138,32,803,0,32,803,803,75.96,0.02246216,0.019699,4,33,782,0,33,782,782,79.81,0.01795423,34,832,0,34,832,832,80.77,0.0195225,35,741,0,35,741,741,80.77,0.01715022,34,739,0,34,739,739,78.13,0.01722662,0.017963,4,45,1094,0,45,1094,1094,87.5,0.02365046,37,1009,0,37,1009,1009,82.69,0.02467267,35,884,0,35,884,884,83.17,0.02492432,39,1143,0,39,1143,1143,84.62,0.02611652,0.024841,4,38,1577,0,38,1577,1577,83.41,0.03320849,36,1362,0,36,1362,1362,84.38,0.02916936,34,1400,0,34,1400,1400,81.49,0.03226675,43,1250,0,43,1250,1250,88.22,0.02637766,0.030256,4,,
6,gi|6319279|ref|NP_009362.1|,"Pyruvate kinase, functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; Cdc19p [Saccharomyces cerevisiae] ",500,54545,7.7,o,Q,CDC19,YAL038W,I,49,585,29,46,556,585,81.6,0.01284614,52,764,24,48,740,764,83.2,0.01564218,55,973,20,51,953,972.9790356,84.4,0.01749227,38,939,16,36,923,938.9654054,76.2,0.02065749,0.01666,4,49,711,20,45,691,711,82.6,0.01578481,45,859,10,43,849,858.9764982,81.4,0.02107647,43,602,9,41,593,602,80.8,0.01384014,47,855,16,44,839,855,80.2,0.01788543,0.017147,4,49,1216,22,45,1194,1215.908257,82.4,0.02504939,51,1288,18,47,1270,1288,82.2,0.02528692,54,1074,11,51,1063,1074,83,0.02284037,55,1135,26,51,1109,1135,83.8,0.02641527,0.024898,4,54,1051,24,50,1027,1050.930097,82.2,0.02007507,54,1157,29,50,1128,1156.872021,81.6,0.02258504,46,1155,16,43,1139,1154.985965,79,0.02224085,54,1275,29,50,1246,1274.861022,82.4,0.02472531,0.022407,4,52,944,20,48,924,943.9783784,83,0.01697883,48,942,11,46,931,942,81.4,0.01916458,47,656,17,44,639,655.9469579,80.4,0.01538733,54,908,26,50,882,907.9411765,81.6,0.01726037,0.017198,4,41,821,26,38,795,821,79.2,0.01438414,39,988,11,38,977,988,74.2,0.01760476,41,772,8,39,764,772,78.8,0.01480362,51,605,13,48,592,605,84.6,0.01062197,0.014354,4,,
